time_period,trains_planned,cancellation_score,infra_network_score,infra_external_score,operator_fault_score,operator_external_score,date,quarter,total_cancellations
Apr to Jun 2014,188553.71,1999.04,907.99,215.54,807.62,67.88,2014-04-01,2014Q2,2625.75
Jul to Sep 2014,191755.82,2939.79,1289.6,413.65,1160.89,74.64,2014-07-01,2014Q3,4037.04
Oct to Dec 2014,182975.93,3418.16,1256.37,681.37,1390.41,90.0,2014-10-01,2014Q4,4622.32
Jan to Mar 2015,186436.54,4695.52,1183.04,2264.17,1157.66,90.65,2015-01-01,2015Q1,5691.889999999999
Apr to Jun 2015,190097.82,2517.57,625.94,367.81,1443.63,77.34,2015-04-01,2015Q2,3314.6099999999997
Jul to Sep 2015,191929.5,3074.14,741.08,405.16,1841.81,78.95,2015-07-01,2015Q3,3876.46
Oct to Dec 2015,186429.93,4204.25,1429.69,1134.2,1513.1,126.08,2015-10-01,2015Q4,5575.85
Jan to Mar 2016,186135.75,3230.54,1249.6,646.58,1239.96,94.07,2016-01-01,2016Q1,4182.07
Apr to Jun 2016,180218.14,2990.95,975.44,446.81,1474.42,91.78,2016-04-01,2016Q2,3999.0
Jul to Sep 2016,187144.43,3350.43,1039.35,573.22,1613.1,124.29,2016-07-01,2016Q3,4409.0
Oct to Dec 2016,190421.18,4122.38,1588.02,663.53,1712.92,157.37,2016-10-01,2016Q4,5649.0
Jan to Mar 2017,189698.25,2744.25,1042.41,343.47,1239.47,117.41,2017-01-01,2017Q1,3808.0
Apr to Jun 2017,192885.07,3272.57,1489.08,600.28,1045.14,135.07,2017-04-01,2017Q2,4476.860000000001
Jul to Sep 2017,195883.43,3028.93,1300.77,478.74,1147.36,74.56,2017-07-01,2017Q3,4135.639999999999
Oct to Dec 2017,189042.29,5576.21,2547.15,993.27,1917.06,104.23,2017-10-01,2017Q4,7744.65
Jan to Mar 2018,183019.21,5566.29,1580.48,2498.57,1250.32,221.42,2018-01-01,2018Q1,7076.85
Apr to Jun 2018,192281.75,4308.5,1892.38,1018.55,1276.57,116.88,2018-04-01,2018Q2,5176.25
Jul to Sep 2018,194429.86,4955.32,1662.88,1469.71,1694.78,123.08,2018-07-01,2018Q3,5873.32
Oct to Dec 2018,188318.79,7192.86,1876.05,1381.12,3760.46,169.77,2018-10-01,2018Q4,8699.96
Jan to Mar 2019,197213.61,6235.82,1461.0,732.67,3853.59,182.53,2019-01-01,2019Q1,7427.47
Apr to Jun 2019,204247.86,5764.43,1298.97,573.78,3699.15,189.97,2019-04-01,2019Q2,6901.139999999999
Jul to Sep 2019,203982.57,4648.71,899.04,1132.27,2449.64,166.33,2019-07-01,2019Q3,5795.0
Oct to Dec 2019,197699.0,5101.64,1193.61,908.62,2741.72,256.84,2019-10-01,2019Q4,6506.86
Jan to Mar 2020,192646.57,4433.71,1023.13,1584.17,1580.82,226.45,2020-01-01,2020Q1,5595.0
Apr to Jun 2020,100197.21,1047.02,314.54,308.58,389.35,33.49,2020-04-01,2020Q2,1319.8200000000002
Jul to Sep 2020,165364.32,4040.43,938.5,2038.95,936.36,111.8,2020-07-01,2020Q3,4757.25
Oct to Dec 2020,179267.07,3635.95,844.32,1155.98,1501.36,131.15,2020-10-01,2020Q4,4659.219999999999
Jan to Mar 2021,145265.39,3621.11,622.85,1688.24,1008.73,297.78,2021-01-01,2021Q1,4572.71
Apr to Jun 2021,146123.43,2463.86,521.26,609.55,1193.27,139.64,2021-04-01,2021Q2,3068.71
Jul to Sep 2021,158648.14,4348.0,994.02,816.97,2347.34,186.95,2021-07-01,2021Q3,5224.85
Oct to Dec 2021,161799.0,5960.14,647.12,1915.73,3164.41,220.1,2021-10-01,2021Q4,7094.14
Jan to Mar 2022,159920.43,4673.5,880.71,1272.25,2320.39,192.79,2022-01-01,2022Q1,5585.28
Apr to Jun 2022,142809.43,3527.59,714.87,491.67,2182.52,137.17,2022-04-01,2022Q2,4173.18
Jul to Sep 2022,160582.79,3702.27,728.63,1103.23,1753.83,114.24,2022-07-01,2022Q3,4480.21
Oct to Dec 2022,155778.79,7351.14,1532.7,2397.34,2943.12,477.18,2022-10-01,2022Q4,8459.86
Jan to Mar 2023,173438.0,3852.0,1086.44,859.17,1572.79,333.6,2023-01-01,2023Q1,4670.75
Apr to Jun 2023,179884.57,3555.0,787.68,869.59,1696.25,201.48,2023-04-01,2023Q2,4400.35
Jul to Sep 2023,179564.93,3836.5,925.32,951.72,1788.67,170.79,2023-07-01,2023Q3,4630.15
Oct to Dec 2023 ,174143.64,5673.0,1324.76,2200.15,1959.27,187.03,,NaT,6783.15
Jan to Mar 2024,176993.0,3623.0,1049.0,1128.0,1166.0,279.0,2024-01-01,2024Q1,4437.0
Apr to Jun 2024,184407.0,3351.0,833.0,761.0,1566.0,191.0,2024-04-01,2024Q2,4051.0
Jul to Sep 2024,145719.0,2802.0,568.0,387.0,1704.0,144.0,2024-07-01,2024Q3,3403.0
Oct to Dec 2024,179282.0,4791.0,1430.0,1019.0,2008.0,334.0,2024-10-01,2024Q4,5869.0
Jan to Mar 2025,176060.0,3280.0,967.0,684.0,1401.0,228.0,2025-01-01,2025Q1,4076.0
Apr to Jun 2025,187407.0,3085.0,1060.0,504.0,1315.0,205.0,2025-04-01,2025Q2,3894.0
Jul to Sep 2025,189168.0,4592.0,1505.0,1415.0,1436.0,236.0,2025-07-01,2025Q3,5574.0
Oct to Dec 2025 ,185316.0,4541.0,1591.0,1019.0,1610.0,321.0,,NaT,5616.0
